month,label_name,articles
202412,Negative,5000
202412,Positive,7000
202501,Negative,2000
202501,Positive,2000
202502,Negative,1000
202502,Positive,3000
202503,Negative,2000
202503,Positive,3000
202504,Positive,4000
202505,Negative,1000
202505,Positive,3000
202506,Negative,3000
202506,Positive,2000
202507,Negative,3000
202507,Positive,1000
202508,Negative,2000
202508,Positive,3000
202509,Negative,3000
202509,Positive,1000
202510,Negative,1000
202510,Positive,3000
202511,Negative,2000
202511,Positive,2000
202512,Negative,2000
202512,Positive,2000
202601,Negative,2000
202601,Positive,2000
202602,Negative,2000
202602,Positive,2000
202603,Negative,2000
202603,Positive,3000
202604,Negative,1000
202604,Positive,3000
202605,Negative,2000
202605,Positive,2000
