ticker,debtToEquity,profitMargins,revenueGrowth,currentRatio,returnOnEquity,operatingMargins
AAPL,79.548,0.27152002,0.166,1.07,1.4147099,0.32275
MSFT,30.271,0.39341998,0.183,1.283,0.34013999,0.46326
JNJ,67.73,0.21834,0.099,1.025,0.26416,0.27408
JPM,,0.33936,0.127,,0.16465001,0.43741
PG,67.651,0.19162,0.074,0.732,0.31112,0.23047
V,67.233,0.51679003,0.171,1.088,0.60349,0.67346
UNH,73.982,0.02678,0.02,0.798,0.121759996,0.080469996
HD,455.218,0.08411,0.048,1.045,1.2838,0.11926
MA,282.059,0.45876,0.158,0.981,2.32076,0.60836
DIS,41.069,0.1154,0.065,0.679,0.1101,0.15512
