zip_file,release_date,label_name,title_len,text_len,fields_present
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,39,5220,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,53,1169,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,103,4727,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,76,3152,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,33,1526,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,56,2469,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,56,1221,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,26,1818,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,52,9556,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,69,245,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,84,3385,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,89,2568,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,68,5944,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,70,3044,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,75,3338,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,67,2310,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,62,2137,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,64,3654,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,53,3281,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,83,10411,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,81,2218,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,49,5283,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,69,4605,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,80,2670,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,45,1294,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,60,1242,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,50,1803,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,45,4198,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,69,3248,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,113,4713,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,110,3752,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,104,3258,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,54,1532,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,62,3308,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,60,1291,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,36,197,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,95,3553,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,80,1201,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,79,3286,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,66,1779,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,69,1828,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,113,3655,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,79,1780,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,76,2036,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,95,1177,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,74,10427,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,85,4012,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,54,2403,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,70,3180,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,43,1649,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,89,3577,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,49,2510,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,84,3614,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,101,3747,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,81,2613,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,44,1368,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,192,2667,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,88,226,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,92,4761,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,49,2143,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,113,3210,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,94,3808,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,60,5210,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,73,2848,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,69,3265,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,58,2400,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,66,1130,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,75,1362,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,87,2907,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,77,2323,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,104,2884,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,30,4938,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,88,3575,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,60,6849,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,64,4837,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,74,5350,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,69,8045,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,49,3530,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,29,2273,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,47,6443,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,84,5305,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,27,6667,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,88,2434,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,73,5667,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,52,3689,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,76,1754,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,0,1807,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,0,1730,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,70,5281,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,89,1824,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,44,13088,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,44,2766,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,55,12946,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,49,2266,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,47,5154,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,26,2882,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,67,7102,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,57,8300,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,94,5929,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,77,1087,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,79,7672,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,64,2305,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,87,5214,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,70,2095,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,54,1252,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,79,1059,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,68,1704,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,64,2681,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,59,2173,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,87,2793,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,98,1053,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,76,4965,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,65,1495,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,69,1908,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,72,2326,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,59,4655,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,75,3300,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,43,8955,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,69,1725,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,45,6916,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,61,2585,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,151,4172,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,79,2453,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,62,2894,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,56,3022,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,114,1212,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,56,2446,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,66,5398,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,63,2469,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,102,8440,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,61,3278,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,68,2607,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,67,6319,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,109,8961,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,75,1037,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,55,1440,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,94,11,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,56,1059,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,67,2479,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,89,3697,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,105,3560,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,45,1303,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,90,5139,25
