zip_file,label_name,release_date,articles
Financial and Economic News_negative_20241223003542.zip,Negative,20241223,1000
Financial and Economic News_negative_20241223072634.zip,Negative,20241223,1000
Financial and Economic News_positive_20241223004000.zip,Positive,20241223,1000
Financial and Economic News_positive_20241223003638.zip,Positive,20241223,1000
Financial and Economic News_positive_20241224072640.zip,Positive,20241224,1000
Financial and Economic News_positive_20241225072633.zip,Positive,20241225,1000
Financial and Economic News_positive_20241226072651.zip,Positive,20241226,1000
Financial and Economic News_negative_20241227072636.zip,Negative,20241227,1000
Financial and Economic News_positive_20241228072639.zip,Positive,20241228,1000
Financial and Economic News_negative_20241229072626.zip,Negative,20241229,1000
Financial and Economic News_positive_20241230072647.zip,Positive,20241230,1000
Financial and Economic News_negative_20241231072636.zip,Negative,20241231,1000
Financial and Economic News_positive_20250105072626.zip,Positive,20250105,1000
Financial and Economic News_positive_20250112072620.zip,Positive,20250112,1000
Financial and Economic News_negative_20250119072618.zip,Negative,20250119,1000
Financial and Economic News_negative_20250126072618.zip,Negative,20250126,1000
Financial and Economic News_positive_20250202072617.zip,Positive,20250202,1000
Financial and Economic News_positive_20250209072617.zip,Positive,20250209,1000
Financial and Economic News_negative_20250216072617.zip,Negative,20250216,1000
Financial and Economic News_positive_20250223072618.zip,Positive,20250223,1000
Financial and Economic News_positive_20250302072618.zip,Positive,20250302,1000
Financial and Economic News_negative_20250309072617.zip,Negative,20250309,1000
Financial and Economic News_negative_20250316072616.zip,Negative,20250316,1000
Financial and Economic News_positive_20250323072617.zip,Positive,20250323,1000
Financial and Economic News_positive_20250330072616.zip,Positive,20250330,1000
Financial and Economic News_positive_20250406072617.zip,Positive,20250406,1000
Financial and Economic News_positive_20250413072616.zip,Positive,20250413,1000
Financial and Economic News_positive_20250420072617.zip,Positive,20250420,1000
Financial and Economic News_positive_20250427072615.zip,Positive,20250427,1000
Financial and Economic News_positive_20250504072616.zip,Positive,20250504,1000
Financial and Economic News_positive_20250511072615.zip,Positive,20250511,1000
Financial and Economic News_negative_20250518072616.zip,Negative,20250518,1000
Financial and Economic News_positive_20250525072617.zip,Positive,20250525,1000
Financial and Economic News_positive_20250601072618.zip,Positive,20250601,1000
Financial and Economic News_negative_20250608072616.zip,Negative,20250608,1000
Financial and Economic News_positive_20250615100617.zip,Positive,20250615,1000
Financial and Economic News_negative_20250622072616.zip,Negative,20250622,1000
Financial and Economic News_negative_20250629072616.zip,Negative,20250629,1000
Financial and Economic News_negative_20250706072617.zip,Negative,20250706,1000
Financial and Economic News_negative_20250713072616.zip,Negative,20250713,1000
Financial and Economic News_positive_20250720072614.zip,Positive,20250720,1000
Financial and Economic News_negative_20250727072616.zip,Negative,20250727,1000
Financial and Economic News_negative_20250803072616.zip,Negative,20250803,1000
Financial and Economic News_positive_20250810072616.zip,Positive,20250810,1000
Financial and Economic News_negative_20250817072616.zip,Negative,20250817,1000
Financial and Economic News_positive_20250824072616.zip,Positive,20250824,1000
Financial and Economic News_positive_20250831072616.zip,Positive,20250831,1000
Financial and Economic News_negative_20250907072614.zip,Negative,20250907,1000
Financial and Economic News_positive_20250914072616.zip,Positive,20250914,1000
Financial and Economic News_negative_20250921072616.zip,Negative,20250921,1000
Financial and Economic News_negative_20250928072617.zip,Negative,20250928,1000
Financial and Economic News_positive_20251005072615.zip,Positive,20251005,1000
Financial and Economic News_negative_20251012072616.zip,Negative,20251012,1000
Financial and Economic News_positive_20251019072615.zip,Positive,20251019,1000
Financial and Economic News_positive_20251026072616.zip,Positive,20251026,1000
Financial and Economic News_positive_20251109072614.zip,Positive,20251109,1000
Financial and Economic News_negative_20251116072616.zip,Negative,20251116,1000
Financial and Economic News_positive_20251123072616.zip,Positive,20251123,1000
Financial and Economic News_negative_20251130072616.zip,Negative,20251130,1000
Financial and Economic News_positive_20251207072615.zip,Positive,20251207,1000
Financial and Economic News_positive_20251214072618.zip,Positive,20251214,1000
Financial and Economic News_negative_20251221072615.zip,Negative,20251221,1000
Financial and Economic News_negative_20251228072614.zip,Negative,20251228,1000
Financial and Economic News_positive_20260104072616.zip,Positive,20260104,1000
Financial and Economic News_negative_20260111072617.zip,Negative,20260111,1000
Financial and Economic News_negative_20260118072617.zip,Negative,20260118,1000
Financial and Economic News_positive_20260125072616.zip,Positive,20260125,1000
Financial and Economic News_positive_20260201072615.zip,Positive,20260201,1000
Financial and Economic News_negative_20260208072615.zip,Negative,20260208,1000
Financial and Economic News_negative_20260215072615.zip,Negative,20260215,1000
Financial and Economic News_positive_20260222072616.zip,Positive,20260222,1000
Financial and Economic News_negative_20260301072616.zip,Negative,20260301,1000
Financial and Economic News_positive_20260308072617.zip,Positive,20260308,1000
Financial and Economic News_negative_20260315072622.zip,Negative,20260315,1000
Financial and Economic News_positive_20260322072615.zip,Positive,20260322,1000
Financial and Economic News_positive_20260329072617.zip,Positive,20260329,1000
Financial and Economic News_positive_20260405072617.zip,Positive,20260405,1000
Financial and Economic News_positive_20260412072617.zip,Positive,20260412,1000
Financial and Economic News_positive_20260419072616.zip,Positive,20260419,1000
Financial and Economic News_negative_20260426072615.zip,Negative,20260426,1000
Financial and Economic News_negative_20260503072617.zip,Negative,20260503,1000
Financial and Economic News_negative_20260510072618.zip,Negative,20260510,1000
Financial and Economic News_positive_20260517072617.zip,Positive,20260517,1000
Financial and Economic News_positive_20260524072616.zip,Positive,20260524,1000
