filepath,label_name,title_len,text_len,fields_present
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_308.json,Positive,79,1958,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_758.json,Positive,40,1997,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_19.json,Positive,76,2746,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_888.json,Positive,95,5898,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_922.json,Positive,88,3317,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_471.json,Positive,82,234,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_534.json,Positive,100,6444,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_164.json,Positive,74,3365,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_867.json,Positive,88,3615,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_426.json,Positive,81,2466,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_975.json,Positive,113,805,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_830.json,Positive,44,3150,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_133.json,Positive,91,2057,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_563.json,Positive,51,234,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_349.json,Positive,65,1753,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_58.json,Positive,28,188,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_719.json,Positive,102,5769,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_963.json,Positive,86,326,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_430.json,Positive,90,3745,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_575.json,Positive,79,3758,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_125.json,Positive,55,323,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_826.json,Positive,97,165,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_467.json,Positive,47,1555,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_934.json,Positive,55,2199,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_871.json,Positive,102,3105,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_172.json,Positive,50,730,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_488.json,Positive,81,2899,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_522.json,Positive,107,2560,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_735.json,Positive,78,4094,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_74.json,Positive,61,3540,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_365.json,Positive,78,704,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_670.json,Positive,128,5554,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_220.json,Positive,43,2073,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_109.json,Positive,82,922,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_559.json,Positive,116,3059,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_332.json,Positive,83,1916,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_762.json,Positive,49,1449,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_23.json,Positive,50,225,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_298.json,Positive,47,907,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_277.json,Positive,74,13815,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_627.json,Positive,57,5351,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_918.json,Positive,128,3680,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_35.json,Positive,61,2498,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_774.json,Positive,109,332,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_324.json,Positive,53,3004,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_631.json,Positive,115,4405,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_261.json,Positive,81,807,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_148.json,Positive,104,547,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_518.json,Positive,77,996,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_373.json,Positive,88,2576,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_689.json,Positive,87,2639,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_62.json,Positive,64,4489,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_723.json,Positive,56,1320,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_236.json,Positive,68,2994,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_666.json,Positive,53,380,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_959.json,Positive,92,2645,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_187.json,Positive,74,4950,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_884.json,Positive,64,4519,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_168.json,Positive,64,2005,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_492.json,Positive,49,2294,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_538.json,Positive,94,3066,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_611.json,Positive,74,4294,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_241.json,Positive,75,4414,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_15.json,Positive,178,1270,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_754.json,Positive,66,901,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_304.json,Positive,87,2524,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_979.json,Positive,55,3456,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_580.json,Positive,83,374,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_996.json,Positive,126,4646,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_216.json,Positive,74,2328,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_646.json,Positive,57,5617,28
financial-news-dataset/Datasets/extracted/Financial and Economic News_positive_20251005072615/article_353.json,Positive,77,7642,28
